Title,keywords,Python,salary,R,SQL,Place
Data Analyst,"(['Python'], ['AWS'], ['Redshift'], ['GIS', 'Tableau', 'Alteryx', 'SQL', 'Pandas', 'numpy'])",1,,0,0,"Pasadena, CA "
Data Analyst,"(['Python'], ['Alteryx', 'Tableau', 'Power BI', 'SQL'])",0,,0,0,"New York, United States "
Data Analyst,"(['Python'], ['Azure Data Lake'], ['SQL Server'], ['SQL', 'Databricks', 'Synapse', 'GIT', 'Power BI', 'Tableau', 'DBT'])",0,,0,0,"Denver, CO "
Junior Data Analyst - 100% Remote,"(['Access', 'SQL Server'], ['SQL', 'Powerpoint'])",0,,0,0,"Norcross, GA"
Data Analyst,"(['Snowflake'], ['Looker', 'SQL', 'ETL'])",0,,0,0,"Austin, TX"
Data Analyst,,0,,0,0,"Alexandria, VA"
Data Analyst,"(['Python'], ['AWS', 'Microsoft Azure'], ['agile', 'SQL', 'Apache Spark'])",0,,0,1,United States 
Junior Data Analyst,"(['SQL'],)",0,,0,0,"Austin, TX"
Data Analyst,"(['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Los Angeles, CA "
Data Analyst,"(['Python'], ['AWS'], ['MySQL'], ['Salesforce', 'SQL', 'Looker', 'Pandas'])",1,,0,0,"Texas, United States "
Associate Data Analyst,"(['Sigma'],)",0,71000.0,0,0,"Texas, United States"
Data Analyst,"(['Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Los Angeles, CA "
Data Analyst,"(['Python', 'R'], ['Snowflake'], ['Tableau', 'SQL'])",0,105000.0,0,0,"New York, NY"
Data Analyst,"(['R', 'Python'], ['Snowflake'], ['SQL', 'Tableau', 'Power BI', 'ETL'])",0,,0,1,United States
Data Analyst,"(['Python'], ['SQL'])",1,,0,0,"Tampa, FL "
Data Analyst,"(['Microsoft SQL Server'], ['SQL', 'SSRS', 'SSIS'])",0,,0,0,Greater Philadelphia 
